domain,domain_length,family,tld,num_ratio,3-gram_check,4-gram_check,5-gram_check,6-gram_check,char_check,dist_mean,dist_median,dist_std,dist_max
centersmariah.com,17,matsnu,com,0.0,4,2,2,1,0.0,17.24773315402327,15.0,6.391788551210357,58.0
o52ng9yjcdq7.com,16,qadars,com,0.1875,0,0,0,0,0.0,17.304012062677018,15.0,6.386092501645758,58.0
rvcrxjrgjl.com,14,ramnit,com,0.0,0,0,0,0,0.0,16.665260712757508,14.0,7.250541930146447,58.0
22ae8a4ac163eba85de30a7d60391b41.info,37,bamital,info,0.2432432432432433,0,0,0,0,0.0,33.04523503881656,33.0,2.2047728396338337,53.0
gowrawqzztujdcli.com,20,bedep,com,0.0,1,1,0,0,0.0,19.000285266010554,18.0,5.719076920138309,58.0
acxksumfvmpfeviil.com,21,ranbyus,com,0.0,1,0,0,0,0.0,19.569778103796075,18.0,5.39412181400653,58.0
f7s7k5duon8b2xhn5v.net,22,rovnix,net,0.2727272727272727,1,0,0,0,0.0,20.81284512093241,20.0,4.831516161991387,57.0
q7ffvsogozvdqnv8nc.com,22,rovnix,com,0.09090909090909093,1,0,0,0,0.0,20.38785989363653,19.0,5.093273951125258,58.0
mnqqseweea.in,13,mydoom,in,0.0,3,0,0,0,0.0,16.870611488069766,15.0,6.985602812146209,56.0
emhqce.com,10,virut,com,0.0,0,0,0,0,0.0,15.877457872323086,14.0,7.660956635719928,58.0
fiwcrctjmuc.dynserv.com,23,bobax,com,0.0,0,0,0,0,0.0,20.622246673594557,20.0,4.98097658929135,58.0
wfuhmkk.eu,10,shifu,eu,0.0,0,0,0,0,0.0,16.644130651832835,15.0,7.676655552025663,58.0
aeqqtxkpfs.com,14,dircrypt,com,0.0,0,0,0,0,0.0,16.441999307211116,14.0,7.058625512665821,58.0
opgmysdsholapet.org,19,pykspa2s,org,0.0,4,0,1,0,0.0,18.878904578519467,17.0,5.775843329327942,58.0
jtiahy.com,10,virut,com,0.0,0,0,0,0,0.0,15.977117590724777,14.0,7.801501272288379,58.0
40d13a68ed8d510051b28ec5ce699c1d.com,36,tinynuke,com,0.25,0,0,0,0,0.0,32.189294374146755,32.0,2.3185977781894733,55.0
memacniuk.org,13,qakbot,org,0.0,2,0,0,0,0.0,16.659494264115573,14.0,7.054774473303329,58.0
ns1.backdates7.net,18,beebone,net,0.1111111111111111,0,0,0,0,0.0,18.15261731564684,16.0,5.874823256804053,57.0
tkyglwxkkmkeo3y.com,19,bedep,com,0.05263157894736842,0,0,0,0,0.0,18.639770157100067,17.0,6.001372707861163,58.0
fkjbuva.com,11,nymaim,com,0.0,1,0,0,0,0.0,16.0,14.0,7.55020687996234,58.0
btaaenhancedysb.com,19,banjori,com,0.0,2,0,1,1,0.0,18.16243861686737,17.0,5.711466901945952,58.0
xiguxaciso.ddns.net,19,symmi,ddns.net,0.0,1,0,0,0,0.0,18.540456833139764,17.0,6.0553403985272185,57.0
iqyuecwkwaqoyigu.org,20,ramdo,org,0.0,0,0,0,0,0.0,19.448132526438048,18.0,5.5577408723263275,58.0
pufyl.eu,8,simda,eu,0.0,0,0,0,0,0.0,16.608574281231533,15.0,7.824880941975918,58.0
xpneagn.cc,10,pykspa2s,cc,0.0,1,0,0,0,0.0,16.253051327505755,14.0,7.54755126565266,58.0
aekdqv.com,10,virut,com,0.0,0,0,0,0,0.0,15.866291745624222,14.0,7.637153841857533,58.0
c49mybxi25evkxk27eqdudxb58g43jwnzgypx.biz,41,murofetweekly,biz,0.12195121951219512,2,0,0,0,0.0,36.45416386494692,37.0,1.6641947018021324,58.0
ns1.dnsfor12.com,16,beebone,com,0.125,0,0,0,0,0.0,17.221916580068058,15.0,6.511850089731532,58.0
petripaprojectdivinesuo.com,27,gozi,com,0.0,6,4,0,1,0.0,23.33184587484973,23.0,4.144998955811139,58.0
ruyctilvq.biz,13,conficker,biz,0.0,1,0,0,0,0.0,17.031134747437697,15.0,7.2142616162785105,58.0
calibrationadvance.com,22,matsnu,com,0.0,6,1,2,1,0.0,19.763738614829762,19.0,5.095796679837261,58.0
e11a966bdd3e866d4e375ec514557184.info,37,bamital,info,0.1891891891891892,0,0,0,0,0.0,33.579497524298546,34.0,2.1250588654279667,54.0
edkhqlc.com,11,vawtrak,com,0.0,0,0,0,0,0.0,15.963995354239257,14.0,7.540403004850837,58.0
wxijljyrlvbqcxswr.biz,21,qakbot,biz,0.0,0,0,0,0,0.0,20.48972023554822,19.0,5.247384966092086,58.0
k2t5x5xfb8g4a.info,18,ebury,info,0.2777777777777778,0,0,0,0,0.0,18.792204087454408,17.0,5.726239053943454,55.0
brwlnbs.eu,10,shifu,eu,0.0,0,0,0,0,0.0,16.454877029973307,14.0,7.574698411083917,58.0
owisaxpufehuaqi.ddns.net,24,symmi,ddns.net,0.0,2,0,0,0,0.0,21.56698657212136,21.0,4.828143256858602,57.0
oqunkonsppayagea.eu,19,emotet,eu,0.0,4,0,0,0,0.0,19.33422988365222,18.0,5.697771346881763,58.0
ycdgagvrgfcnjaacousn.pw,23,necurs,pw,0.0,1,0,0,0,0.0,21.738574077470094,20.0,4.517234783213777,58.0
jvpfzmfgrjrptoi.com,19,murofet,com,0.0,1,0,0,0,0.0,18.5871385781527,17.0,6.034872647308178,58.0
ns1.timechk23.com,17,beebone,com,0.1176470588235294,0,0,0,0,0.0,17.593088412087127,16.0,6.265582052195822,58.0
sbmttmx.info,12,shifu,info,0.0,0,0,0,0,0.0,16.791022271124962,15.0,7.4589439535397855,55.0
federatedinsurance.com,22,benign,com,0.0,9,3,3,1,0.0,19.71019010941989,19.0,5.066545180107621,58.0
isicgimli.com,13,vawtrak,com,0.0,2,0,0,0,0.0,16.248894594209098,14.0,7.483661602447196,58.0
yloguktehlpt.su,15,locky,su,0.0,1,0,0,0,0.0,17.706807669580453,15.0,6.7255960948203555,58.0
papsearwnn.in,13,mydoom,in,0.0,3,2,0,0,0.0,16.715976934205433,15.0,7.0320980870948295,57.0
29cy4ze2ii.net,14,urlzone,net,0.21428571428571427,0,0,0,0,0.0,17.000407522872223,15.0,6.802881701359049,57.0
pwxqjnhsocyln.com,17,dircrypt,com,0.0,1,0,0,0,0.0,17.460969496913012,15.0,6.599215652036812,58.0
lgbcaejkhop.com,15,vidro,com,0.0,1,0,0,0,0.0,16.63082503005481,14.0,6.782422047940007,58.0
amxyqdsyqnja.com,16,ramnit,com,0.0,0,0,0,0,0.0,17.065040650406505,15.0,6.676810807272996,58.0
buijkmrrfvimiqpr.biz,20,murofet,biz,0.0,2,0,0,0,0.0,19.895450007131647,18.0,5.533827673139276,58.0
ns1.dnsfor13.org,16,beebone,org,0.125,0,0,0,0,0.0,17.797522260936894,15.0,6.283000705286732,58.0
iwijpaoah.net,13,pitou,net,0.0,0,0,0,0,0.0,16.472176375899096,14.0,7.357457982926303,57.0
mdo3yci7sbh3w.biz,17,ebury,biz,0.17647058823529413,0,0,0,0,0.0,18.32233021578336,16.0,5.963353012274876,58.0
pamtptd.eu,10,shifu,eu,0.0,2,0,0,0,0.0,16.481508649672968,15.0,7.587918236275157,58.0
956d393077d700c6fd03b639ca177bbc.win,36,wd,win,0.19444444444444445,0,0,0,0,0.0,33.14650447256352,33.0,1.9051636576100452,58.0
izpypenansnan.cc,16,pykspa2s,cc,0.0,2,0,0,0,0.0,17.717729282555986,15.0,6.421949533339348,58.0
0-0-0-0-0-0-0-0-0-0-0-0-0-34-0-0-0-0-0-0-0-0-0-0-0-0-0.info,59,tsifiri,info,0.4576271186440678,0,0,0,0,0.4406779661016949,56.90486378547997,58.0,2.441285453215271,59.0
a168iirjx7roy2u813.net,22,rovnix,net,0.18181818181818185,0,0,0,0,0.0,20.951076879189845,20.0,4.7332795648095685,57.0
xuqinaji.info,13,simda,info,0.0,0,0,0,0,0.0,16.806120993540762,15.0,7.356694921565758,56.0
sptsuukdxedg.com,16,bedep,com,0.0,0,0,0,0,0.0,17.136907308922712,15.0,6.652046088919747,58.0
gzspefsjep.com,14,pushdotid,com,0.0,0,0,0,0,0.0,16.438535362797236,14.0,7.089914593714344,58.0
spaqxcnymzouya.com,18,bedep,com,0.0,1,0,0,0,0.0,17.91621329747132,16.0,6.2019453752960105,58.0
licenseversiontlicenses.eu,26,gozi,eu,0.0,5,3,2,0,0.0,23.669824968926378,23.0,4.097385708343334,58.0
wd4150307948bfc82cfa5ccad167e73912.win,38,wd,win,0.13157894736842105,1,0,0,0,0.0,34.58673105528048,35.0,1.9286105515876613,55.0
crc6u81l1tatilk.sg,18,corebot,sg,0.16666666666666666,3,0,0,0,0.0,19.177211320985393,17.0,5.528248637003316,58.0
tewwhamadwwpwlpp.ru,19,sutra,ru,0.0,5,1,0,0,0.0,19.611936344927358,18.0,5.574359563952494,58.0
pluwwrp.info,12,shifu,info,0.0,0,0,0,0,0.0,16.795097499847177,15.0,7.556826179150487,56.0
xnpotcyk.com,12,dircrypt,com,0.0,1,0,0,0,0.0,16.12515027405913,14.0,7.594962595194888,58.0
wd8f0f2afe0578de4ae9e47f4ea712de72.pro,38,wd,pro,0.2631578947368421,0,0,0,0,0.0,34.322982252378914,34.0,1.9893217275346815,55.0
ohgzulmpkl.com,14,pushdotid,com,0.0,0,0,0,0,0.0,16.610183996576808,14.0,7.353701807402885,58.0
xxdc1b01ef.am,13,xxhex,am,0.15384615384615385,0,0,0,0,0.0,16.980438902133383,15.0,6.744796645895145,57.0
sgh33vv6isxi5ctp.cn,19,chinad,cn,0.15789473684210525,0,0,0,0,0.0,19.59645047578295,18.0,5.3685294179468,57.0
rbwgestnessbiophysicalohax.com,30,banjori,com,0.0,4,2,0,1,0.0,25.84149397884957,25.0,3.5491093226178725,58.0
jbtcxyswd.biz,13,proslikefan,biz,0.0,0,0,0,0,0.0,16.983047048515598,15.0,7.032361612784988,58.0
peruokpshpxzdgujstutvusuw.net,29,qakbot,net,0.0,2,1,0,0,0.0,25.848279234672045,25.0,3.719011081745144,57.0
h34pxl38nwbsj16k17askte41ktbybqbyi45as.net,42,murofetweekly,net,0.14285714285714285,1,0,0,0,0.0,36.89316787904721,37.0,1.8802637104810467,57.0
gibypsrahcn.net,15,pykspa,net,0.0,2,0,0,0,0.0,16.915683517737435,15.0,6.8250781408889125,57.0
adhutearutve.ddns.net,21,symmi,ddns.net,0.0,6,1,0,0,0.0,19.62662754447093,18.0,5.429574760075059,57.0
diowoabad.us,12,pitou,us,0.0,2,0,0,0,0.0,16.711840577052392,15.0,7.088711724964565,58.0
corneliusmackenzie.net,22,suppobox,net,0.0,4,2,1,1,0.0,20.16973327628013,19.0,5.157306464067129,57.0
d9679b4f2d891207343579c07ad13f93.top,36,tinynuke,top,0.19444444444444445,0,0,0,0,0.0,32.95900319905455,33.0,1.9676530533914969,55.0
qhy8kctz9jc7m78x.cn,19,chinad,cn,0.21052631578947367,0,0,0,0,0.0,19.620494325244003,18.0,5.296850052878408,57.0
xgkuxlomxsyudhnjj.in,20,ranbyus,in,0.0,0,0,0,0,0.0,20.042035984269614,18.0,5.508061874583847,56.0
sodxjturvlm.pl,14,locky,pl,0.0,2,0,0,0,0.0,17.475192045153534,15.0,6.905063763749238,58.0
isvbct.biz,10,proslikefan,biz,0.0,0,0,0,0,0.0,16.729751207286508,15.0,7.506571536542947,58.0
zleykohurjwkkjgwixwqaauqryijprokgqvgyepd.pro,44,makloader,pro,0.0,3,0,0,0,0.0,38.781200969904425,39.0,1.8467033628256584,57.0
ovolml7pcp72e0m0op3.ws,22,corebot,ws,0.2272727272727273,2,0,0,0,0.0,21.721600749842086,20.0,4.549344636054267,56.0
xyfbnvbwancokial.eu,19,emotet,eu,0.0,2,1,0,0,0.0,19.11428978951444,17.0,5.595760414012144,58.0
djfhjmozcrejggffu.com,21,bedep,com,0.0,0,0,0,0,0.0,19.63714163457424,18.0,5.308669053245525,58.0
gnqlfza.cc,10,oderoor,cc,0.0,0,0,0,0,0.0,16.423130998227276,15.0,7.522004644329683,58.0
pxmxxxrjxpsagium.eu,19,emotet,eu,0.0,1,0,0,0,0.0,19.523320496362857,18.0,5.872480999139284,58.0
abpqdqekktfdem.cc,17,ranbyus,cc,0.0,0,0,0,0,0.0,18.173034211545122,16.0,5.83140371138596,58.0
icoqotcureho.ddns.net,21,symmi,ddns.net,0.0,3,1,0,0,0.0,19.70941581596267,18.0,5.5415299016142185,57.0
prniynkpxbkuytnc.eu,19,emotet,eu,0.0,0,0,0,0,0.0,19.228396193736373,17.0,5.808415503799647,58.0
o8sotcfv3eq6nzi5.org,20,chinad,org,0.2,1,0,0,0,0.0,19.591865843470465,18.0,5.23825349860395,58.0
ddncddfdadbbfccd.website,24,padcrypt,website,0.0,1,0,0,0,0.0,22.689875094239664,22.0,4.287639391953419,58.0
7x05wlbucx7uz0ck.info,21,chinad,info,0.19047619047619047,0,0,0,0,0.0,20.41669213684618,19.0,5.028176063309089,53.0
osuhwimso.top,13,vawtrak,top,0.0,1,0,0,0,0.0,16.84167736414206,15.0,7.404178868885522,58.0
ypytmuy.biz,11,locky,biz,0.0,0,0,0,0,0.0,16.945106669111805,15.0,7.645595673917918,58.0
ptmr14930352.in,15,qhost,in,0.06666666666666668,0,0,0,0,0.0,18.039529718605454,15.0,6.081404523244608,56.0
d10dsf62psc59j26o61k27p32kwgzd30h24hwd50c19.biz,47,murofetweekly,biz,0.23404255319148934,0,0,0,0,0.0,42.46977199095299,43.0,1.8152302497639012,55.0
wd4b52b6c09af85d8119677cfae2d594d8.pro,38,wd,pro,0.2368421052631579,1,0,0,0,0.0,34.360433604336045,34.0,1.8865733642942968,56.0
shnqpnnqaa.biz,14,mydoom,biz,0.0,0,0,0,0,0.0,17.305377264298958,15.0,7.020701534713376,58.0
hvcrylaoab.org,14,conficker,org,0.0,1,0,0,0,0.0,16.898689813965813,15.0,6.826745642188711,58.0
pnocgawdpvemsxwge.tw,20,ranbyus,tw,0.0,2,0,0,0,0.0,19.89600016300915,18.0,5.334791896719525,58.0
xqpadl.com,10,virut,com,0.0,1,0,0,0,0.0,15.936243046640993,14.0,7.712931517033746,58.0
baaklnonckbbbebe.org,20,padcrypt,org,0.0,2,0,0,0,0.0,19.600770218228494,18.0,5.259267309576339,58.0
e51d60b28hshylwnse21atayo51czc39m59p12f62.net,45,murofetweekly,net,0.2,2,0,0,0,0.0,39.63850683619618,40.0,1.7851402427548535,56.0
sbkwczpfazvascagd3.com,22,bedep,com,0.045454545454545456,2,0,0,0,0.0,20.16851070766347,19.0,4.96686882993254,58.0
quicelroxaq.ddns.net,20,symmi,ddns.net,0.0,2,0,0,0,0.0,19.041241314668785,18.0,5.751674669536053,57.0
uowgqeowsiqeqisi.org,20,ramdo,org,0.0,0,0,0,0,0.0,19.515007029769546,18.0,5.679541966216852,58.0
7f80risyyihx1mgx.com,20,chinad,com,0.15,0,0,0,0,0.0,19.26796666462905,18.0,5.519862714905535,57.0
sorrymarry.net,14,suppobox,net,0.0,1,0,2,0,0.0,16.848279234672045,15.0,7.244622862522618,57.0
cduuauhnw.info,14,conficker,info,0.0,1,0,0,0,0.0,17.029321270656315,15.0,6.987041331669436,55.0
ywykyueosawaggka.org,20,ramdo,org,0.0,3,1,0,0,0.0,19.574362736108565,18.0,5.559754503946522,58.0
qyycqk.net,10,pykspa2s,net,0.0,0,0,0,0,0.0,16.494773519163765,15.0,7.775171707509239,58.0
wmcofwiq.biz,12,pykspa2s,biz,0.0,0,0,0,0,0.0,16.79354891293274,15.0,7.288043680077574,58.0
vzalidablyhoosieraw.com,23,banjori,com,0.0,5,2,1,0,0.0,20.67754752735497,20.0,4.9557340172708155,58.0
snlqfms.org,11,proslikefan,org,0.0,0,0,0,0,0.0,16.576767121054672,15.0,7.483772252844618,58.0
cevlzffhqz.net,14,nymaim,net,0.0,0,0,0,0,0.0,16.872893616154208,15.0,6.959621074659281,57.0
becauseindustry.net,19,suppobox,net,0.0,3,1,1,0,0.0,18.50606190272429,17.0,5.778876726794309,57.0
neoacbcabdbdfdfk.co.uk,22,padcrypt,co.uk,0.0,2,0,0,0,0.0,20.588809421928804,19.0,4.764624851361674,58.0
ujfgnbcejnl.net,15,vidrotid,net,0.0,0,0,0,0,0.0,16.97774925117672,15.0,6.7416758763510165,57.0
yiqrrkriwexgsismxs.ru,21,feodo,ru,0.0,2,0,0,0,0.0,20.72433115308597,19.0,5.301588818510201,58.0
ahprdvgexe.com,14,ramnit,com,0.0,0,0,0,0,0.0,16.37322982252379,14.0,7.0128059413138875,58.0
bikvcgbjlhkmbsgwqe.ga,21,necurs,ga,0.0,0,0,0,0,0.0,20.814841983006296,19.0,5.030485085961673,58.0
julylkn.org,11,pykspa2s,org,0.0,0,0,0,0,0.0,16.709334311388226,15.0,7.618248483679844,58.0
severadress.net,15,suppobox,net,0.0,4,2,2,0,0.0,16.870917130223933,14.0,6.768446537488916,57.0
fiftycould.net,14,suppobox,net,0.0,0,1,2,0,0.0,16.661572630763906,14.0,6.9725894343284,57.0
otysrndqzgqeqimxaqhndmcf.net,28,qakbot,net,0.0,0,0,0,0,0.0,24.69309452493021,24.0,3.7722561756147335,57.0
aeqcnmvcsv.com,14,fobber,com,0.0,0,0,0,0,0.0,16.384497829940706,14.0,7.044478298912026,58.0
mnfiaifbjqhdc.it,16,locky,it,0.0,0,0,0,0,0.0,17.711575687185444,15.0,6.124852856775947,57.0
iby8qbypu2q6o07v1be.cn,22,corebot,cn,0.2272727272727273,0,0,0,0,0.0,21.392872424964853,20.0,4.383154003284775,56.0
kgnbfordlinnetavox.com,22,banjori,com,0.0,7,2,1,1,0.0,19.977280599873673,19.0,5.220626852792089,58.0
xx603cfb83.tm,13,xxhex,tm,0.15384615384615385,0,0,0,0,0.0,17.17602950465595,15.0,6.779310351712193,57.0
xuidathafuocag.ddns.net,23,symmi,ddns.net,0.0,2,0,0,0,0.0,20.85508486663814,20.0,4.981904175566654,57.0
gwqwbbbietul.tech,17,mirai,tech,0.0,0,0,0,0,0.0,18.567801617865804,16.0,6.266784683593667,58.0
eglvqsmg.com,12,vidro,com,0.0,0,0,0,0,0.0,16.152311673492676,14.0,7.578811969435293,58.0
xxc1b01f0d.at,13,xxhex,at,0.2307692307692308,0,0,0,0,0.0,17.23567047700552,15.0,6.721823025467501,57.0
vibqldwotxaedsbpyy.org,22,qakbot,org,0.0,1,0,0,0,0.0,20.629602461438147,19.0,4.8993806663875175,58.0
kpgrape.com,11,tempedreve,com,0.0,3,1,1,0,0.0,15.914399820689935,14.0,7.622455620435841,58.0
fvegfclo.se,11,proslikefan,se,0.0,0,0,0,0,0.0,16.504818957964016,15.0,7.256504736961607,58.0
mtozjfkc.info,13,pykspa,info,0.0,0,0,0,0,0.0,16.84797359251788,15.0,7.202276283337816,56.0
alyfwlgbtpwerfryvumpfwq.net,27,qakbot,net,0.0,5,1,0,0,0.0,24.106709864091126,23.0,3.933690541206823,57.0
xybopxspil.net,14,pykspa,net,0.0,1,0,0,0,0.0,16.836318438372352,15.0,7.213487270837906,57.0
xvrplnwjhgxkuvh.pw,18,locky,pw,0.0,0,0,0,0,0.0,19.303319273794237,17.0,6.042471986618682,58.0
50yd701bk4mbk4u4aj1valk.ddns.net,32,corebot,ddns.net,0.1875,1,0,0,0,0.0,28.355095054709945,28.0,2.8989655241389762,55.0
slotsbmnznnvqi.biz,18,murofet,biz,0.0,1,2,0,0,0.0,18.85624630682397,17.0,6.116490835212472,58.0
c24fb169c79d98d904850252fe04a779.pro,36,wd,pro,0.19444444444444445,0,0,0,0,0.0,33.041322819243234,33.0,1.8255160112592503,54.0
forassedenouncesandbands.ru,27,gozi,ru,0.0,8,5,2,0,0.0,24.400961753978443,24.0,3.628737697461595,58.0
xgcionv.net,11,torpig,net,0.0,1,1,0,0,0.0,16.267375756464332,14.0,7.691354235267337,57.0
uopidonvcto.xyz,15,nymaim,xyz,0.0,1,0,0,0,0.0,17.519265643784262,15.0,6.698797666534463,58.0
hpqqvcbkkemfrrdrr2.com,22,bedep,com,0.045454545454545456,0,0,0,0,0.0,20.415591825091184,19.0,5.0550994314617315,58.0
zpukyztbfaeaxcfao.net,21,fobber,net,0.0,1,1,0,0,0.0,19.74533895714897,18.0,5.208085962355246,57.0
kmn29w0jici3317r.com,20,chinad,com,0.15,0,0,0,0,0.0,19.358722008272714,18.0,5.334674471093737,57.0
mwjsllseqknqoyitzcuyhk.com,26,hesperbot,com,0.0,0,0,0,0,0.0,23.08093404242313,22.0,4.424585029728048,58.0
m6w9z9491q5a1hd5.org,20,chinad,org,0.3,0,0,0,0,0.0,20.06591682458178,19.0,4.9676058760603,58.0
t2gby3ickbg4j.biz,17,ebury,biz,0.17647058823529413,0,0,0,0,0.0,18.40666707418954,16.0,5.951528299970317,58.0
ussrcbtptwhiljhfsms.mu,22,necurs,mu,0.0,0,0,0,0,0.0,21.358395989974934,20.0,4.962996115783134,58.0
ubmqyeaujgyvnralx.tw,20,ranbyus,tw,0.0,1,0,0,0,0.0,20.01591376816024,18.0,5.3629354008345125,58.0
7dbe906bb6bfe0ac5e35bcc6cc18583b.cz.cc,38,bamital,cc,0.21052631578947367,0,0,0,0,0.0,34.43904476638751,35.0,1.938300169699764,56.0
owjuea.com,10,virut,com,0.0,0,0,0,0,0.0,15.842146015445115,14.0,7.73525813795514,58.0
e02f1923.eu,11,ekforward,eu,0.18181818181818185,0,0,0,0,0.0,16.97424455447562,15.0,7.0342846653410875,57.0
wovpzf.com,10,nymaim,com,0.0,0,0,0,0,0.0,16.122603256107748,14.0,7.774051775305837,58.0
t2u7s5yad6h4l.net,17,ebury,net,0.29411764705882354,1,0,0,0,0.0,17.986470240642255,16.0,6.031803356274312,57.0
xx7a6706c0.ru,13,xxhex,ru,0.2307692307692308,0,0,0,0,0.0,17.321657803044197,15.0,6.750173666302831,57.0
uolvgfptzgqapzc.com,19,bedep,com,0.0,0,0,0,0,0.0,18.552865904598892,17.0,5.936077994258236,58.0
avmql68krbynqnqm19lug33m49hsaxixg53jt.com,41,murofetweekly,com,0.12195121951219512,2,0,0,0,0.0,35.721498869124034,36.0,2.037115101293827,58.0
7b50c01ca97da4cb3668aacb34c77c6a.com,36,tinynuke,com,0.25,0,0,0,0,0.0,32.179758338936765,32.0,2.392961515029109,56.0
ahnhqufqbex.com,15,pykspa2s,com,0.0,0,0,0,0,0.0,16.7280803635104,14.0,6.806987356354459,58.0
mjatmnylof.ru,13,pushdotid,ru,0.0,1,0,0,0,0.0,16.86160523259368,15.0,7.056910383594491,58.0
drawer-well-pot.com,19,matsnu,com,0.0,5,2,0,1,0.10526315789473684,18.588483403631027,17.0,5.879365375289451,56.0
56908d482ee39a11edbc1bb1f5235e62.win,36,wd,win,0.2222222222222222,0,0,0,0,0.0,32.79334515149663,33.0,1.9260204312030051,55.0
rhsnfguubhm.cn,14,conficker,cn,0.0,0,0,0,0,0.0,17.121625201214414,15.0,6.8200335775793555,57.0
jmoivjrwbsnmsir.click,21,locky,click,0.0,1,0,0,0,0.0,20.570980296269127,19.0,5.484382330804422,58.0
carbleedscgkilometers.com,25,matsnu,com,0.0,5,4,2,0,0.0,21.937282229965163,21.0,4.433304467043329,58.0
nhvuiuamm.xyz,13,locky,xyz,0.0,0,0,0,0,0.0,17.197750473745337,15.0,7.212122325995315,58.0
luezs.cc,8,conficker,cc,0.0,1,0,0,0,0.0,16.461947551806347,15.0,7.741767358671394,58.0
4eda42372847ad9d38c2f7e2ca31c360.info,37,bamital,info,0.2432432432432433,0,0,0,0,0.0,33.274772296595145,33.0,2.1329195536649634,53.0
lrzgnz.com,10,virut,com,0.0,0,0,0,0,0.0,16.20278338121727,14.0,7.8979294958185005,58.0
xrpyugd.com,11,nymaim,com,0.0,0,0,0,0,0.0,16.052713083521812,14.0,7.699839355955827,58.0
iwucgi.com,10,virut,com,0.0,0,0,0,0,0.0,16.002608146382215,14.0,7.825686801365242,58.0
zihkrqxcpu.com,14,pushdotid,com,0.0,0,0,0,0,0.0,16.59276239378935,14.0,7.2438784041225395,58.0
leiphone.com,12,benign,com,0.0,3,2,1,0,0.0,15.88603622878334,14.0,7.514752519740784,58.0
redwirez.com,12,benign,com,0.0,3,1,0,0,0.0,15.976404425698393,14.0,7.437692767555434,58.0
jiikijohqk.su,13,locky,su,0.0,0,0,0,0,0.0,17.30329889765063,15.0,7.335625579249,58.0
ucdeuqeoya.biz,14,pykspa2s,biz,0.0,0,0,0,0,0.0,16.976730443996168,15.0,6.7946958101029935,58.0
kpcbgurpf.dyndns.org,20,oderoor,dyndns.org,0.0,1,0,0,0,0.0,19.365955539254642,18.0,5.5579685787502315,58.0
zwpzabvsda.com,14,fobber,com,0.0,0,0,0,0,0.0,16.428143529555598,14.0,7.00839570824827,58.0
iqhvaexyql.com,14,qakbot,com,0.0,0,0,0,0,0.0,16.440369215722228,14.0,7.146988380798786,58.0
rfqdsemitismgavenuteq.com,25,banjori,com,0.0,3,3,1,0,0.0,21.97990912239949,21.0,4.533346506546813,58.0
beladjczieimd.com,17,dircrypt,com,0.0,2,1,0,0,0.0,17.286101432442894,15.0,6.18384929059543,58.0
mtkxmtiwmtka.com,16,sisron,com,0.0,0,0,0,0,0.0,17.154064021843222,15.0,6.861982703639692,58.0
qwtluapdhqewnkid.eu,19,emotet,eu,0.0,0,0,0,0,0.0,19.17482731218289,17.0,5.656335490173071,58.0
qnynkmuqluoewmsl.com,20,murofet,com,0.0,0,0,0,0,0.0,19.059172321046518,18.0,5.898187595536128,58.0
ciulrrlj.yt,11,locky,yt,0.0,0,0,0,0,0.0,16.793467408358293,15.0,7.489039707458353,58.0
ibrhljs.info,12,shifu,info,0.0,0,0,0,0,0.0,16.672371986877767,15.0,7.428616838760234,55.0
